tconst,Actors_names,averageRating,startYear,runtimeMinutes,title,language,tmdb_id,original_title,overview,popularity,poster_path,production_countries,spoken_languages,production_companies_name,genres,Keywords,actors,mots
tt0092550,ÉricRohmer Anne-LaureMeury SophieRenoir François-EricGendron,7.5,1987,103,Boyfriends and Girlfriends,en,64544,L'Ami de mon amie,"Middle-class Parisian suburbs: Blanche and Léa, office worker and student, meet and become friends. Léa is going out with Fabien, but is thinking of leaving him. Blanche falls for Léa's handsome and witty friend Alexandre, but is tongue-tied whenever she meets him. Léa goes on holiday and Blanche, still smitten with the dashing Alexandre, begins to get to get know Fabien.",7.024,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7qHTMp3C1rwATBemmMhIWBs8r9O.jpg,['FR'],fr,"['Les Films du Losange', 'Investimage', 'Compagnie Eric Rohmer (CER)']","Comedy,Romance,Drama",,"Éric Rohmer, Anne-Laure Meury, Sophie Renoir, François-Eric Gendron",Comedy Romance Drama  en fr ÉricRohmer Anne-LaureMeury SophieRenoir François-EricGendron
tt0092558,MacitKoper SerraYilmaz OsmanAlyanak YasarGüner KemalInci ArslanKacar KemalKocatürk ÖmerKavur,7.5,1987,101,Motherland Hotel,en,96051,Anayurt Oteli,The lonely proprietor of a small hotel in a provincial Turkish town develops a passion for a departed guest.,1.74,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/q5GTHLyafufhjNjiH1AIunNwuu3.jpg,['TR'],tr,"['Alfa Film', 'Odak Film']","Drama,Thriller,Crime",,"Macit Koper, Serra Yilmaz, Osman Alyanak, Yasar Güner, Kemal Inci, Arslan Kacar, Kemal Kocatürk, Ömer Kavur",Drama Thriller Crime  en tr MacitKoper SerraYilmaz OsmanAlyanak YasarGüner KemalInci ArslanKacar KemalKocatürk ÖmerKavur
tt0092563,CharlotteRampling MichaelHiggins RobertDeNiro StockerFontelieu AlanParker MickeyRourke LisaBonet BrownieMcGhee EliottKeener CharlesGordone,7.2,1987,113,Angel Heart,fr,635,Angel Heart,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",14.904,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/h5v3wjJQNB7q2RntEnKDLhKtTFE.jpg,"['CA', 'GB', 'US']","en,fr","['TriStar Pictures', 'Winkast Film Productions', 'Union', 'Carolco Pictures']","Thriller,Horror,Mystery","new york city,amnesia,heart,southern usa,voodoo,detective,drug addiction,new orleans, louisiana,investigation,neurosis,fan,sanatorium,surrealism,flashback,murder,vision,church,drugs,demon,biting,incest,missing person,devil worship","Charlotte Rampling, Michael Higgins, Robert De Niro, Stocker Fontelieu, Alan Parker, Mickey Rourke, Lisa Bonet, Brownie McGhee, Eliott Keener, Charles Gordone",Thriller Horror Mystery new york city amnesia heart southern usa voodoo detective drug addiction new orleans  louisiana investigation neurosis fan sanatorium surrealism flashback murder vision church drugs demon biting incest missing person devil worship fr en fr CharlotteRampling MichaelHiggins RobertDeNiro StockerFontelieu AlanParker MickeyRourke LisaBonet BrownieMcGhee EliottKeener CharlesGordone
tt0092576,MickeyKnox BarbaraCupisti GiovanniLombardoRadice MicheleSoavi,6.6,1987,90,Le Théâtre de la Peur,fr,20465,Deliria,A troupe of struggling stage actors rehearsing for a small-town production of a play panic after finding out they are locked in the theater with a killer wearing an owl mask.,7.398,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dur0zx9llrLXRdc3nMJwEqQRCNO.jpg,['IT'],en,"['DMV Distribuzione', 'Filmirage']","Thriller,Horror","panic,psychopath,theatre group,murder,slasher,vomiting,owl","Mickey Knox, Barbara Cupisti, Giovanni Lombardo Radice, Michele Soavi",Thriller Horror panic psychopath theatre group murder slasher vomiting owl fr en MickeyKnox BarbaraCupisti GiovanniLombardoRadice MicheleSoavi
tt0092605,PatHingle SamWanamaker DianeKeaton SamShepard BrittLeach JamesSpader HaroldRamis LindaEllerbee,6.3,1987,110,Baby Boom,en,11215,Baby Boom,The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.,7.946,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4Jy5U4HITJWUDYJc1NGgJLIjbWz.jpg,['US'],en,"['United Artists', 'Meyers/Shyer']","Comedy,Romance,Drama","small town,baby,yuppie,veterinarian,career woman,business woman,business consultant,adoptive mother,fish out of water,orphan,loss of job,break-up,vermont,manhattan, new york city,isolated farmhouse,starting over,baby girl,apple orchard,ambitious,working toward job promotion,marketing executive,death of cousin","Pat Hingle, Sam Wanamaker, Diane Keaton, Sam Shepard, Britt Leach, James Spader, Harold Ramis, Linda Ellerbee",Comedy Romance Drama small town baby yuppie veterinarian career woman business woman business consultant adoptive mother fish out of water orphan loss of job break-up vermont manhattan  new york city isolated farmhouse starting over baby girl apple orchard ambitious working toward job promotion marketing executive death of cousin en en PatHingle SamWanamaker DianeKeaton SamShepard BrittLeach JamesSpader HaroldRamis LindaEllerbee
tt0092618,FayeDunaway BarbetSchroeder SandyMartin MickeyRourke AliceKrige J.C.Quinn JackNance FrankStallone GloriaLeRoy JoeUnger,7.1,1987,100,Barfly,en,10937,Barfly,"Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But, they like each other's company—and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids.",9.412,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1TDhyo38sHKU9WSwdVV0AtTrmTS.jpg,['US'],en,"['Golan-Globus Productions', 'Cannon Group', 'American Zoetrope']","Comedy,Romance,Drama","career,prostitute,fight,bartender,poet,alcoholism,money,los angeles, california,alcohol abuse,paramedic,boyfriend girlfriend relationship,street fight,barflies,unemployed,brawler,brawlers,barfly","Faye Dunaway, Barbet Schroeder, Sandy Martin, Mickey Rourke, Alice Krige, J.C. Quinn, Jack Nance, Frank Stallone, Gloria LeRoy, Joe Unger",Comedy Romance Drama career prostitute fight bartender poet alcoholism money los angeles  california alcohol abuse paramedic boyfriend girlfriend relationship street fight barflies unemployed brawler brawlers barfly en en FayeDunaway BarbetSchroeder SandyMartin MickeyRourke AliceKrige J.C.Quinn JackNance FrankStallone GloriaLeRoy JoeUnger
tt0092627,IsabelleHuppert ElizabethMcGovern WallaceShawn RobertSchenkkan SteveGuttenberg PaulShenar CarlLumbly FrederickCoffin MauryChaykin CurtisHanson,6.4,1987,112,The Bedroom Window,en,39074,The Bedroom Window,"Baltimore, Maryland. Sylvia sees a girl being attacked from her lover Terry's bedroom window. The assailant flees and his victim is saved. But that same night another girl is found murdered.",8.75,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7JT5mzLBuABKqDNvCvfnjrvYQC6.jpg,['US'],en,['DEG'],"Drama,Thriller,Mystery,Crime","baltimore, usa,strangler,extramarital affair,murder investigation,employer employee relationship,secret relationship,neo-noir,crime witness","Isabelle Huppert, Elizabeth McGovern, Wallace Shawn, Robert Schenkkan, Steve Guttenberg, Paul Shenar, Carl Lumbly, Frederick Coffin, Maury Chaykin, Curtis Hanson",Drama Thriller Mystery Crime baltimore  usa strangler extramarital affair murder investigation employer employee relationship secret relationship neo-noir crime witness en en IsabelleHuppert ElizabethMcGovern WallaceShawn RobertSchenkkan SteveGuttenberg PaulShenar CarlLumbly FrederickCoffin MauryChaykin CurtisHanson
tt0092699,LoisChiles JackNicholson WilliamHurt AlbertBrooks RobertProsky HollyHunter JoanCusack PeterHackes ChristianClemenson RobertKatims JamesL.Brooks,7.3,1987,133,Broadcast News,en,12626,Broadcast News,"Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.",7.88,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/8YhpZz85umXsa4cH5U7a0hJ2Vuu.jpg,['US'],"en,fr,de,es","['Amercent Films', 'American Entertainment Partners L.P.', 'Gracie Films', '20th Century Fox']","Comedy,Romance,Drama","journalist,washington dc, usa,love triangle,workaholic,journalism,television producer,neurotic,tv news anchor","Lois Chiles, Jack Nicholson, William Hurt, Albert Brooks, Robert Prosky, Holly Hunter, Joan Cusack, Peter Hackes, Christian Clemenson, Robert Katims, James L. Brooks",Comedy Romance Drama journalist washington dc  usa love triangle workaholic journalism television producer neurotic tv news anchor en en fr de es LoisChiles JackNicholson WilliamHurt AlbertBrooks RobertProsky HollyHunter JoanCusack PeterHackes ChristianClemenson RobertKatims JamesL.Brooks
tt0092718,PatrickDempsey SharonFarrell DarcyDeMoss DennisDugan DevinDeVasquez,6.8,1987,94,Can't Buy Me Love,en,12919,Can't Buy Me Love,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything.",15.784,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uHCkUHe63HUkWPmUmJ0kPmOQchJ.jpg,['US'],en,"['Silver Screen Partners II', 'Apollo Pictures', 'Touchstone Pictures', 'The Mount Company']","Comedy,Romance,Drama","new year's eve,high school,cheerleader,nerd,coming of age,break-up,teen comedy,teen drama","Patrick Dempsey, Sharon Farrell, Darcy DeMoss, Dennis Dugan, Devin DeVasquez",Comedy Romance Drama new year's eve high school cheerleader nerd coming of age break-up teen comedy teen drama en en PatrickDempsey SharonFarrell DarcyDeMoss DennisDugan DevinDeVasquez
tt0092745,AndreyMironov OlegTabakov AlexandraYakovleva MikhailBoyarskiy NikolayKarachentsov IgorKvasha LevDurov GalinaPolskikh NatalyaKrachkovskaya NatalyaFateeva AllaSurikova,7.6,1987,98,L'homme de boulevard des Capucines,fr,45227,Человек с бульвара Капуцинов,Mr Jonny First arrives to the Wild West to present the art of the Cinematograph.,3.521,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tQJ3wxpaFmtW5EAt4z9xXOEW0to.jpg,['SU'],ru,['Mosfilm'],"Comedy,Romance,Western,Musical,Music",musical,"Andrey Mironov, Oleg Tabakov, Alexandra Yakovleva, Mikhail Boyarskiy, Nikolay Karachentsov, Igor Kvasha, Lev Durov, Galina Polskikh, Natalya Krachkovskaya, Natalya Fateeva, Alla Surikova",Comedy Romance Western Musical Music musical fr ru AndreyMironov OlegTabakov AlexandraYakovleva MikhailBoyarskiy NikolayKarachentsov IgorKvasha LevDurov GalinaPolskikh NatalyaKrachkovskaya NatalyaFateeva AllaSurikova
