,tconst,averageRating,numVotes,originalTitle,startYear,runtimeMinutes,title,language,tmdb_id,overview,popularity,poster_path,production_countries,genres,teaser_link,Keywords,Actors_names,Actors_names2,mots
2114,tt0087995,6.9,40946,Repo Man,1984,92,Repo Man,en,13820,"A down and out young punk gets a job working with a seasoned repo man, but what awaits him in his new career is a series of outlandish adventures revolving around aliens, the CIA, and a most wanted '64 Chevy.",11.489,https://image.tmdb.org/t/p/original/ewHbMkKNjGMRKUgCLrpT9UPnaCR.jpg,['US'],"Comedy,Action,Science Fiction,Crime",Bande-annonce non trouvée,"police,capitalism,dark comedy,punk rock,satire,surrealism,alien,radioactivity,economy,ufo,conspiracy,consumerism,los angeles, california,scientist,nonconformism,repossession,genre bending,1980s,car trunk,cult film,anti-authoritarianism","Harry Dean Stanton,Tracey Walter,Emilio Estevez,Sy Richardson,Fox Harris,Alex Cox",HarryDeanStanton TraceyWalter EmilioEstevez SyRichardson FoxHarris AlexCox,Comedy Action Science Fiction Crime police capitalism dark comedy punk rock satire surrealism alien radioactivity economy ufo conspiracy consumerism los angeles  california scientist nonconformism repossession genre bending 1980s car trunk cult film anti-authoritarianism en HarryDeanStanton TraceyWalter EmilioEstevez SyRichardson FoxHarris AlexCox
2115,tt0088000,6.6,58322,Revenge of the Nerds,1984,90,La revanche des tronches,fr,14052,"At Adams College, the jocks rule the school from their house on high, the Alpha Beta fraternity. So when a group of socially-challenged misfits try to go Greek, they're instantly rejected by every house on campus. Deciding to start their own fraternity to protect their outcast brothers, the campus nerds soon find themselves in a battle royale as the Alpha Betas try to crush their new rivals.",9.045,https://image.tmdb.org/t/p/original/pi6REVD5Ms8FQSPNzXi6zEqHjUF.jpg,['US'],Comedy,Bande-annonce non trouvée,"nerd,jock,panty raid,fire breathing,defenestration,funhouse,pie eating","Robert Carradine,Curtis Armstrong,Michelle Meyrink,Anthony Edwards,Timothy Busfield,Larry B. Scott,Julia Montgomery,Ted McGinley,Jeff Kanew",RobertCarradine CurtisArmstrong MichelleMeyrink AnthonyEdwards TimothyBusfield LarryB.Scott JuliaMontgomery TedMcGinley JeffKanew,Comedy nerd jock panty raid fire breathing defenestration funhouse pie eating fr RobertCarradine CurtisArmstrong MichelleMeyrink AnthonyEdwards TimothyBusfield LarryB.Scott JuliaMontgomery TedMcGinley JeffKanew
2116,tt0088002,7.2,4977,Les ripoux,1984,107,Le cop,en,10260,"A streetwise Paris policeman who takes kickbacks from the minor criminals on his beat to allow them to continue is assigned an idealistic new partner fresh from police academy. He sets out to corrupt his new partner and, after a slow start, succeeds spectacularly.",6.641,https://image.tmdb.org/t/p/original/3TD4GhnnhULFBdKyBVVYb6A0zt2.jpg,['FR'],"Comedy,Crime",https://www.youtube.com/watch?v=2Rv4eQ23ls8,"corruption,paris, france,police,retirement,good cop bad cop,buddy cop,colleague","Philippe Noiret,Henri Attal,Julien Guiomar,Claude Zidi,Albert Simono,Claude Brosset,Thierry Lhermitte,Régine,Grace de Capitani,Pierre Baton",PhilippeNoiret HenriAttal JulienGuiomar ClaudeZidi AlbertSimono ClaudeBrosset ThierryLhermitte Régine GracedeCapitani PierreBaton,Comedy Crime corruption paris  france police retirement good cop bad cop buddy cop colleague en PhilippeNoiret HenriAttal JulienGuiomar ClaudeZidi AlbertSimono ClaudeBrosset ThierryLhermitte Régine GracedeCapitani PierreBaton
2117,tt0088009,7.1,1420,Rok spokojnego slonca,1984,106,L'année du soleil calme,fr,42096,"Shortly after World War II an American soldier (Norman) and a Polish refugee (Emilia) fall in love. Eventually he will return to the U.S. and both expect that she will soon follow him with her mother. Emilia's mother is sick, but will recover with the right medicine. But the mother, and not Emilia, knows that there will only be one ticket...",2.065,https://image.tmdb.org/t/p/original/jMxB1CzBRzy48JjFbrdgVArTolc.jpg,"['DE', 'PL', 'US']","Romance,Drama,War",Bande-annonce non trouvée,"love triangle,love,american","Scott Wilson,Vadim Glowna,Zbigniew Zapasiewicz,Krzysztof Zanussi,Jerzy Stuhr,Jerzy Nowak,Tadeusz Bradecki,Maja Komorowska,Danny Webb,Hanna Skarzanka,Ewa Dalkowska",ScottWilson VadimGlowna ZbigniewZapasiewicz KrzysztofZanussi JerzyStuhr JerzyNowak TadeuszBradecki MajaKomorowska DannyWebb HannaSkarzanka EwaDalkowska,Romance Drama War love triangle love american fr ScottWilson VadimGlowna ZbigniewZapasiewicz KrzysztofZanussi JerzyStuhr JerzyNowak TadeuszBradecki MajaKomorowska DannyWebb HannaSkarzanka EwaDalkowska
2118,tt0088011,6.9,103158,Romancing the Stone,1984,106,À la poursuite du diamant vert,fr,9326,"Though she can spin wild tales of passionate romance, novelist Joan Wilder has no life of her own. Then one day adventure comes her way in the form of a mysterious package. It turns out that the parcel is the ransom she'll need to free her abducted sister, so Joan flies to South America to hand it over. But she gets on the wrong bus and winds up hopelessly stranded in the jungle.",21.187,https://image.tmdb.org/t/p/original/qfIlVOYZH5RiZ0ndFKUpr5Zn2Bx.jpg,"['MX', 'US']","Adventure,Romance,Action,Comedy",Bande-annonce non trouvée,"airplane,smuggling (contraband),kidnapping,crocodile,anti hero,treasure hunt,treasure map,betrayal,marijuana,jungle,author,drug lord,south america,double cross,archaeologist,novelist,jewel,opposites attract,archeology,soldier of fortune,colombia,romance novelist,romance books","Alfonso Arau,Michael Douglas,Danny DeVito,Robert Zemeckis,Kathleen Turner,Zack Norman,Manuel Ojeda,Holland Taylor,Mary Ellen Trainor,Eve Smith,Joe Nesnow",AlfonsoArau MichaelDouglas DannyDeVito RobertZemeckis KathleenTurner ZackNorman ManuelOjeda HollandTaylor MaryEllenTrainor EveSmith JoeNesnow,Adventure Romance Action Comedy airplane smuggling (contraband) kidnapping crocodile anti hero treasure hunt treasure map betrayal marijuana jungle author drug lord south america double cross archaeologist novelist jewel opposites attract archeology soldier of fortune colombia romance novelist romance books fr AlfonsoArau MichaelDouglas DannyDeVito RobertZemeckis KathleenTurner ZackNorman ManuelOjeda HollandTaylor MaryEllenTrainor EveSmith JoeNesnow
2119,tt0088074,7.2,3381,Secret Honor,1984,90,Secret Honor,fr,50034,"In his New Jersey study, Richard Nixon retraces the missteps of his political career, attempting to absolve himself of responsibility for Watergate and lambasting President Gerald Ford's decision to pardon him. His monologue explores his personal life and describes his upbringing and his mother. A tape recorder, a gun and whiskey are his only companions during his entire monologue, which is tinged with the vitriol and paranoia that puzzled the public during his presidency.",2.239,https://image.tmdb.org/t/p/original/hYiadiL0xgIqpPgKj02NkYsb988.jpg,['US'],"Comedy,Biography,Drama",Bande-annonce non trouvée,"based on play or musical,one-man show,richard nixon,conspiracy","Robert Altman,Philip Baker Hall",RobertAltman PhilipBakerHall,Comedy Biography Drama based on play or musical one-man show richard nixon conspiracy fr RobertAltman PhilipBakerHall
2120,tt0088111,6.8,1524,The Shooting Party,1984,98,La partie de chasse,fr,57300,"1913, shortly before the outbreak of WWI. A group of aristocrats gathers at the estate of Sir Randolph Nettleby for a weekend shoot. As the terminal decrepitude of a dying class is reflected in the social interactions and hypocrisy of its members, only world weary Sir Randolph seems to realise that the sun is setting.",1.152,https://image.tmdb.org/t/p/original/cjFDPj3hrcHwrRhAqlFYtff8PbQ.jpg,['GB'],"Romance,History,Drama",Bande-annonce non trouvée,,"Gordon Jackson,Dorothy Tutin,James Mason,John Gielgud,Robert Hardy,Edward Fox,Cheryl Campbell,Aharon Ipalé,Joris Stuyck,Rebecca Saire,Alan Bridges",GordonJackson DorothyTutin JamesMason JohnGielgud RobertHardy EdwardFox CherylCampbell AharonIpalé JorisStuyck RebeccaSaire AlanBridges,Romance History Drama  fr GordonJackson DorothyTutin JamesMason JohnGielgud RobertHardy EdwardFox CherylCampbell AharonIpalé JorisStuyck RebeccaSaire AlanBridges
2121,tt0088128,7.0,126124,Sixteen Candles,1984,93,Sixteen Candles,en,15144,A teenage girl deals with her parents forgetting her birthday and a crush on her high school's heartthrob.,18.466,https://image.tmdb.org/t/p/original/1yDBZiMSVGS1IWWb7B2Rwjdz0Zj.jpg,['US'],"Comedy,Romance",Bande-annonce non trouvée,"high school,birthday,nerd,convertible,crush,teenage crush,exchange student,night vision goggles,sweet sixteen,chastity,teenage angst,high school romance,sister's wedding,popular boy,high school prom","Edward Andrews,Paul Dooley,Carlin Glynn,Molly Ringwald,Anthony Michael Hall,Michael Schoeffling,Haviland Morris,Gedde Watanabe,Blanche Baker,John Hughes",EdwardAndrews PaulDooley CarlinGlynn MollyRingwald AnthonyMichaelHall MichaelSchoeffling HavilandMorris GeddeWatanabe BlancheBaker JohnHughes,Comedy Romance high school birthday nerd convertible crush teenage crush exchange student night vision goggles sweet sixteen chastity teenage angst high school romance sister's wedding popular boy high school prom en EdwardAndrews PaulDooley CarlinGlynn MollyRingwald AnthonyMichaelHall MichaelSchoeffling HavilandMorris GeddeWatanabe BlancheBaker JohnHughes
2122,tt0088161,6.3,83330,Splash,1983,111,Splash,fr,2619,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",15.526,https://image.tmdb.org/t/p/original/7FutTsMWBwVhjk1Ujf1wtndUVZh.jpg,['US'],"Comedy,Romance,Fantasy",Bande-annonce non trouvée,"new york city,bachelor,mermaid,cape cod,produce seller,sympathetic","Ron Howard,Howard Morris,Dody Goodman,Richard B. Shull,Bobby Di Cicco,John Candy,Shecky Greene,Tony DiBenedetto,Tom Hanks,Daryl Hannah,Eugene Levy",RonHoward HowardMorris DodyGoodman RichardB.Shull BobbyDiCicco JohnCandy SheckyGreene TonyDiBenedetto TomHanks DarylHannah EugeneLevy,Comedy Romance Fantasy new york city bachelor mermaid cape cod produce seller sympathetic fr RonHoward HowardMorris DodyGoodman RichardB.Shull BobbyDiCicco JohnCandy SheckyGreene TonyDiBenedetto TomHanks DarylHannah EugeneLevy
2123,tt0088172,7.0,51965,Starman,1984,115,Starman,fr,9663,"When an alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona, the government tries to stop them.",12.347,https://image.tmdb.org/t/p/original/cgDeFWkYi6e9FT5RiQPCbQ9HlXZ.jpg,['US'],"Science Fiction,Romance,Sci-Fi",Bande-annonce non trouvée,"widow,lovers,alien,cherry pie","Richard Jaeckel,Jeff Bridges,Charles Martin Smith,John Carpenter,Karen Allen,Robert Phalen,John Walter Davis,Ted White,Dirk Blocker,M.C. Gainey",RichardJaeckel JeffBridges CharlesMartinSmith JohnCarpenter KarenAllen RobertPhalen JohnWalterDavis TedWhite DirkBlocker M.C.Gainey,Science Fiction Romance Sci-Fi widow lovers alien cherry pie fr RichardJaeckel JeffBridges CharlesMartinSmith JohnCarpenter KarenAllen RobertPhalen JohnWalterDavis TedWhite DirkBlocker M.C.Gainey
